0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,
pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,
whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,
other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,
potted plants,,,,,,,,,,,,,,,,,,,,,,
whole milk,cereals,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,
beef,,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,
chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,
butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,
butter milk,pastry,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,
brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,
yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,beverages,sugar,,,,,,,,,,,,,,,,,,
pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,
beef,grapes,detergent,,,,,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,dessert,,,,,,,,,,,,,,,,,,,
citrus fruit,zwieback,newspapers,,,,,,,,,,,,,,,,,,,,
