"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Afghanistan","Male","54.6","54.57449","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Afghanistan","Male","46.9","46.93113","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Afghanistan","Male","13.6","13.63259","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Afghanistan","Male","59.6","59.60036","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Afghanistan","Male","51.5","51.50902","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Afghanistan","Male","15.1","15.07067","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Afghanistan","Male","61.0","61.03658","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Afghanistan","Male","52.8","52.78430","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Afghanistan","Male","15.7","15.67539","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Afghanistan","Male","63.3","63.28709","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Afghanistan","Male","54.7","54.73407","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Afghanistan","Male","15.4","15.39356","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Afghanistan","Female","55.4","55.41726","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Afghanistan","Female","46.6","46.58344","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Afghanistan","Female","14.2","14.20647","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Afghanistan","Female","60.3","60.29720","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Afghanistan","Female","50.7","50.74652","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Afghanistan","Female","15.2","15.16855","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Afghanistan","Female","62.3","62.34584","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Afghanistan","Female","52.4","52.44153","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Afghanistan","Female","15.5","15.51821","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Afghanistan","Female","63.2","63.15551","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Afghanistan","Female","53.2","53.15305","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Afghanistan","Female","15.1","15.05771","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Afghanistan","Both sexes","55.0","54.98949","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Afghanistan","Both sexes","46.8","46.76397","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Afghanistan","Both sexes","13.9","13.92182","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Afghanistan","Both sexes","59.9","59.94055","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Afghanistan","Both sexes","51.1","51.13087","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Afghanistan","Both sexes","15.1","15.12046","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Afghanistan","Both sexes","61.7","61.65429","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Afghanistan","Both sexes","52.6","52.60495","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Afghanistan","Both sexes","15.6","15.58858","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Afghanistan","Both sexes","63.2","63.20990","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Afghanistan","Both sexes","53.9","53.94961","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Afghanistan","Both sexes","15.2","15.21116","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Angola","Male","46.8","46.77004","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Angola","Male","41.2","41.18177","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Angola","Male","12.8","12.82086","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Angola","Male","55.8","55.77834","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Angola","Male","49.3","49.27284","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Angola","Male","14.4","14.36960","","","","",""
