Week,Match_Order_in_Week,Date,Start Time,End Time,Team A,Team B
1,1,29-06-2025,06:00 PM IST,06:40 PM IST,Kanhaiya's Physio FC (Beast),Procure FC (Carnage)
1,2,29-06-2025,06:40 PM IST,07:20 PM IST,Cell Kraft FC (Riza),Reckon FC (FUTURE)
1,3,29-06-2025,07:20 PM IST,08:00 PM IST,Bon Bon FC (Supa),Sapphire Seven
1,4,29-06-2025,08:00 PM IST,08:40 PM IST,Ektarfa FC (TeamSkeet),Sarthak Singapore FC (Silverbacks)
1,5,29-06-2025,08:40 PM IST,09:20 PM IST,H&H Boyz,Propex FC (Galacticos)
1,6,29-06-2025,09:20 PM IST,10:00 PM IST,BKFC,Sarco FC (LUFC)
2,1,06-07-2025,06:00 PM IST,06:40 PM IST,BKFC,Reckon FC (FUTURE)
2,2,06-07-2025,06:40 PM IST,07:20 PM IST,Sarthak Singapore FC (Silverbacks),Sapphire Seven
2,3,06-07-2025,07:20 PM IST,08:00 PM IST,Cell Kraft FC (Riza),Procure FC (Carnage)
2,4,06-07-2025,08:00 PM IST,08:40 PM IST,Ektarfa FC (TeamSkeet),Sarco FC (LUFC)
2,5,06-07-2025,08:40 PM IST,09:20 PM IST,H&H Boyz,Kanhaiya's Physio FC (Beast)
2,6,06-07-2025,09:20 PM IST,10:00 PM IST,Bon Bon FC (Supa),Propex FC (Galacticos)
3,1,13-07-2025,06:00 PM IST,06:40 PM IST,Sarthak Singapore FC (Silverbacks),Propex FC (Galacticos)
3,2,13-07-2025,06:40 PM IST,07:20 PM IST,BKFC,Procure FC (Carnage)
3,3,13-07-2025,07:20 PM IST,08:00 PM IST,Sarco FC (LUFC),Reckon FC (FUTURE)
3,4,13-07-2025,08:00 PM IST,08:40 PM IST,Cell Kraft FC (Riza),H&H Boyz
3,5,13-07-2025,08:40 PM IST,09:20 PM IST,Ektarfa FC (TeamSkeet),Sapphire Seven
3,6,13-07-2025,09:20 PM IST,10:00 PM IST,Bon Bon FC (Supa),Kanhaiya's Physio FC (Beast)
4,1,20-07-2025,06:00 PM IST,06:40 PM IST,Ektarfa FC (TeamSkeet),Reckon FC (FUTURE)
4,2,20-07-2025,06:40 PM IST,07:20 PM IST,Sarthak Singapore FC (Silverbacks),Kanhaiya's Physio FC (Beast)
4,3,20-07-2025,07:20 PM IST,08:00 PM IST,Sapphire Seven,Propex FC (Galacticos)
4,4,20-07-2025,08:00 PM IST,08:40 PM IST,Sarco FC (LUFC),Procure FC (Carnage)
4,5,20-07-2025,08:40 PM IST,09:20 PM IST,Bon Bon FC (Supa),Cell Kraft FC (Riza)
4,6,20-07-2025,09:20 PM IST,10:00 PM IST,BKFC,H&H Boyz
5,1,27-07-2025,06:00 PM IST,06:40 PM IST,Sapphire Seven,Kanhaiya's Physio FC (Beast)
5,2,27-07-2025,06:40 PM IST,07:20 PM IST,Ektarfa FC (TeamSkeet),Propex FC (Galacticos)
5,3,27-07-2025,07:20 PM IST,08:00 PM IST,Sarco FC (LUFC),H&H Boyz
5,4,27-07-2025,08:00 PM IST,08:40 PM IST,BKFC,Bon Bon FC (Supa)
5,5,27-07-2025,08:40 PM IST,09:20 PM IST,Sarthak Singapore FC (Silverbacks),Cell Kraft FC (Riza)
5,6,27-07-2025,09:20 PM IST,10:00 PM IST,Reckon FC (FUTURE),Procure FC (Carnage)
6,1,03-08-2025,06:00 PM IST,06:40 PM IST,Ektarfa FC (TeamSkeet),Procure FC (Carnage)
6,2,03-08-2025,06:40 PM IST,07:20 PM IST,Reckon FC (FUTURE),H&H Boyz
6,3,03-08-2025,07:20 PM IST,08:00 PM IST,Sapphire Seven,Cell Kraft FC (Riza)
6,4,03-08-2025,08:00 PM IST,08:40 PM IST,Propex FC (Galacticos),Kanhaiya's Physio FC (Beast)
6,5,03-08-2025,08:40 PM IST,09:20 PM IST,Sarthak Singapore FC (Silverbacks),BKFC
